,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,matmul_lab_omp_physical,"[-0.06655915105243082, -0.06071170972446782, -0.041108686051833265, -0.1324330271177765, -0.08777462723911378, -0.06152477986100191, -0.06225637255200356, -0.06807499968731556, -0.14909336199778722, -0.02253513167777932]","[228496764303.083, 259661776054.17453, 188064131940.9361, 234199844865.81592, 238861973895.99704, 218544151724.86493, 224951871865.91772, 232151462602.21872, 232838673601.47223, 136922142160.90898]","[0.6435232563023495, 0.6733304505501164, 0.7486338657692639, 0.6355172869797227, 0.6392009084004456, 0.7436966915023779, 0.6631428313959109, 0.7009757411757812, 0.6161495480174868, 0.6797206491221427]","[251453.06842986206, 264335.02629780455, 238780.9501230439, 270849.7453095071, 265520.828837308, 262614.0427622999, 256846.2930769295, 257220.8686080077, 275684.93641457945, 205119.06114843691]"
1,best_lr,matmul_lab_omp_physical,"[0.7530463210281789, 0.7376765039415504, 0.7600414182273112, 0.7806071506118845, 0.7838031688132943, 0.7884432613403048, 0.7737919513345992, 0.7627654964673847, 0.7977002084934333, 0.7006669764397983]","[52906692068.71724, 64216680425.79735, 43345716914.5279, 45372900702.2524, 47474173927.357506, 43554789176.10951, 47903618460.92607, 51564110189.76305, 40991634519.88863, 40082064210.46464]","[0.34791292835316506, 0.3266239901905829, 0.4854971551242512, 0.36353697587022527, 0.3335838603660979, 0.46937286562790254, 0.3201730840778435, 0.45603594036535117, 0.3592882653364284, 0.42873397075820435]","[126047.56664428572, 124848.8268732143, 134314.37815794643, 122798.90643214286, 117902.321716875, 133238.4521119643, 112985.18331321431, 130183.150098125, 128002.60735348213, 119346.72353580358]"
2,best_rr,matmul_lab_omp_physical,"[0.7534096055300279, 0.7374508063101926, 0.7620352455611916, 0.7807212966417074, 0.7842510983403964, 0.7884919883635632, 0.7738096547256272, 0.7626919782060024, 0.7976314740117073, 0.7007130780300681]","[52828862973.99517, 64271931110.09951, 42985555279.330795, 45349294023.67944, 47375814094.05135, 43544757374.5293, 47899869449.80877, 51580089752.914375, 41005562061.44883, 40075890996.164986]","[0.34689289174660415, 0.3271840653535942, 0.4806364768402945, 0.363046617729113, 0.32942318165883844, 0.46913876106971, 0.3202071482460615, 0.45682616765273504, 0.358722167576723, 0.42849380618398436]","[125871.46919425696, 124737.28841047955, 133860.83668564947, 122918.467914395, 117144.76324183399, 133248.89413826665, 113013.703796918, 130151.14703304417, 128154.41835569248, 119502.41359400972]"
3,best_knn,matmul_lab_omp_physical,"[0.9860343105973296, 0.981068101174768, 0.9812299774266517, 0.9845685704458128, 0.9811582312098209, 0.991262177853821, 0.9797033471412981, 0.9827198173910614, 0.9859215765143722, 0.9653845654610148]","[2991971740.7357965, 4634520792.001664, 3390585487.433709, 3191392621.996123, 4137421458.650048, 1798921669.1761825, 4298180901.667592, 3755934431.4518533, 2852685046.4912143, 4635165386.573836]","[0.03687004596609863, 0.05038049248111347, 0.051991711372268254, 0.04746319546388652, 0.04951117765502916, 0.04962338187961078, 0.052344754436987495, 0.044203905696776825, 0.053561906024487065, 0.06341714200536928]","[15832.233380163807, 23253.79545070705, 23708.691345809722, 19684.993404733563, 25415.222927060877, 18435.83774872683, 24206.74496039987, 20449.43940466467, 22632.095247437293, 26495.471878150456]"
4,best_gpr,matmul_lab_omp_physical,"[0.6244918650132862, 0.5339269285451855, 0.6323447964232163, 0.3954658645519832, 0.5962534571000053, 0.6122649014106638, 0.6009614212522859, 0.6206538604849553, 0.7379537543946478, 0.7299907870053541]","[80447853013.38759, 114094489949.97707, 66412621122.62657, 125024436189.71803, 88657791582.75797, 79825963390.37794, 84503588357.2628, 82452787628.86937, 53097948580.01566, 36155471534.50575]","[0.39373516701853684, 0.3510738987685758, 0.4647896360074684, 0.34402757753382496, 0.4554501902208723, 0.4359560688098055, 0.42671303368634633, 0.4754753420535201, 0.3516761765834525, 0.47468238728802864]","[115278.92143926493, 140201.50591637538, 126233.41348019706, 147691.86040794235, 155322.5516299526, 131160.0673022596, 136993.29713872785, 137081.80493129493, 128911.43098031306, 109484.8925056522]"
5,best_dt,matmul_lab_omp_physical,"[0.9859895264583222, 0.9823784408091427, 0.9606995252875479, 0.983928865364609, 0.9815769518988786, 0.9907955067944617, 0.9774562136796782, 0.9748782838719492, 0.9789315746658527, 0.968197127909437]","[3001566174.2420983, 4313750206.01058, 7099172027.555283, 3323690804.0432425, 4045475528.1283255, 1894998777.0658062, 4774051785.180898, 5460331104.006849, 4269056259.402507, 4258550379.94085]","[0.03778342576465823, 0.05197691707221202, 0.062151359689406646, 0.05307912840327461, 0.04405093474341943, 0.05359542598622586, 0.05283715879070893, 0.05994439519031995, 0.051572010682252346, 0.06317487720039515]","[16465.807190797117, 23480.695295030546, 32208.691363738708, 21531.224995864195, 20647.35477224929, 19486.95319351488, 25197.590688450287, 26213.51706912698, 23752.76255877647, 25163.842496998957]"
6,best_rf,matmul_lab_omp_physical,"[0.9696077940974585, 0.9765020838271858, 0.9850107661739186, 0.9660228434724157, 0.9685078435097518, 0.9927391500504914, 0.9785950850057809, 0.9772050649496008, 0.9885529083750434, 0.9698470477737233]","[6511144461.056161, 5752279899.493129, 2707630130.9634576, 7026856862.338907, 6915291525.593543, 1494846209.0773447, 4532875320.401728, 4954593557.027344, 2319503113.2331486, 4037618545.705246]","[0.045687397914195675, 0.03264474050862478, 0.040695207960266225, 0.04369077115257884, 0.04451170093299398, 0.030477063143525253, 0.03444486029643127, 0.03266704805707171, 0.035501164602960614, 0.03655362309521002]","[27982.550842144883, 22645.781588459267, 21208.63214183119, 29366.41818748436, 29856.322832613623, 14961.056976009833, 19804.02554461198, 19621.53270736123, 19260.96137118318, 16355.032736742414]"
7,best_etr,matmul_lab_omp_physical,"[0.9873043098988081, 0.990263058469599, 0.9989701962037529, 0.9874122712705605, 0.9884536722921317, 0.9992397523114797, 0.9884783218489454, 0.9889968707756205, 0.9989415620492137, 0.9807252948604007]","[2719890505.7019377, 2383599151.3437147, 186022035.55243492, 2603283412.8398156, 2535432026.532482, 156517953.55188328, 2439922352.162215, 2391585369.368932, 214469334.4343002, 2580971387.167418]","[0.03175609688274021, 0.009206497914763386, 0.013333039181547338, 0.01443644554721891, 0.016052476841465543, 0.010167804755875356, 0.011853829471456375, 0.010158646239439484, 0.013842169370846777, 0.01524485621150541]","[14011.052180267134, 6726.867090658256, 4481.061153009133, 9017.090350442408, 8612.616643195828, 3449.6629956707598, 7602.217991265842, 6943.552416477422, 4450.972536868096, 8372.99484552164]"
8,best_gbr,matmul_lab_omp_physical,"[0.9695305865641083, 0.9066899353488391, 0.9813564783248856, 0.9640614529800269, 0.9652734263165316, 0.9458566318356995, 0.9619527028172508, 0.9553277830651068, 0.9690011235067044, 0.857805082515069]","[6527685195.372614, 22842264197.63392, 3367734576.731646, 7432494403.843602, 7625529892.833842, 11146905556.499132, 8057198753.382193, 9709730592.098066, 6281245305.678389, 19040551373.999836]","[0.048508581831501425, 0.05461297101061445, 0.06180890427688612, 0.07429376623815853, 0.04679070266416129, 0.06707260360683465, 0.0588075378260464, 0.08036445684629834, 0.05860960181086884, 0.06816270512179867]","[25081.806456931972, 40584.808950026534, 28040.30254883038, 33702.4509654817, 29362.79303567771, 37134.85590035901, 28928.530360471796, 35596.182394893425, 30956.698684303865, 38669.27273864482]"
9,best_xgb,matmul_lab_omp_physical,"[0.9752608849649859, 0.981371507710401, 0.9907125548616419, 0.9875919990095232, 0.9640476042510789, 0.9939414594714998, 0.9862470545508162, 0.9903546880203404, 0.9908891891073204, 0.944664031106008]","[5300041476.034933, 4560247000.936044, 1677668557.8506622, 2566113701.62937, 7894705391.937415, 1247317656.2728615, 2912433290.497668, 2096456975.3886282, 1846106847.225405, 7409739934.395105]","[0.06828626441915457, 0.05175678748610729, 0.0898369107856185, 0.05695463656294617, 0.07518043328403749, 0.06757040520360459, 0.06915896932916932, 0.05096572620287804, 0.06508769506047953, 0.09987480346140336]","[35180.41548600446, 24695.957786450897, 25972.286936238837, 25347.133294955358, 40735.530022366074, 21070.677892031254, 28508.304950223213, 21819.94271801339, 24021.9009751116, 36231.46711861607]"
