,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,runtimes_final_npb_ep,"[0.7174902288064671, 0.6503519941921625, 0.44065687943616005, 0.8625378073383827, 0.4678170757380874, 0.4707144032517473, 0.7260343658052855, 0.7870413099529056, 0.7669486795827608, 0.7523641084791405]","[84.09900347429182, 110.38976088600008, 103.8784656757088, 9.584405059939405, 47.94065694374327, 118.2607337726923, 70.79366192523823, 61.02405057690011, 66.2663111644232, 59.4822105905109]","[0.15687216505333382, 0.1575021794820552, 0.2217209644249942, 0.13071930116456176, 0.199560616950556, 0.21968390694538104, 0.15948139557647192, 0.1866117906898183, 0.1764421793437365, 0.20086617684706765]","[4.865098451978093, 5.306895081060747, 5.341045202863363, 2.1196038500492085, 3.7570609713789374, 5.75516642613802, 3.6787857086101807, 4.217955137778189, 3.7078796586290648, 4.326776858098722]"
1,best_lr,runtimes_final_npb_ep,"[0.34612205148376807, 0.27718347682067235, 0.35985968213534414, 0.08735740684930093, 0.23927312152786695, 0.4329235954701831, 0.5440425460003369, 0.3850177963636656, 0.41818545083490266, 0.4758755719587854]","[194.64984744318184, 228.20534318181822, 118.8837255563447, 63.63303333333334, 68.52859166666667, 126.7045090909091, 117.82097395399254, 176.22528148674243, 165.4343939606831, 125.89483460135867]","[0.6909419922356954, 0.4487514457295843, 0.7033867894633706, 0.7271198953119495, 0.6702409073505877, 0.5375991984551809, 0.4151539962731347, 0.6015874179022893, 0.5704866895764157, 0.5798915013488491]","[9.29189393939394, 8.656060606060606, 7.9074810606060595, 6.633939393939395, 6.6489393939393935, 7.6103030303030295, 6.449875699752776, 8.661931818181818, 7.897448995694934, 7.714103215029264]"
2,best_rr,runtimes_final_npb_ep,"[0.35561633507349866, 0.2818729075096714, 0.37027235684529425, 0.03888883081298655, 0.1939544013733664, 0.42217148452482667, 0.5333745477975227, 0.3777293815474122, 0.41273400235153956, 0.530731230031407]","[191.82353886905582, 226.72481097842686, 116.94993459211595, 67.01245320446871, 72.61103985695692, 129.10690306840488, 120.57762137223153, 178.31380200813615, 166.98447048824198, 112.71849014855188]","[0.6767258555310399, 0.44615819574360827, 0.7031695549988934, 0.735915271045999, 0.687828468334802, 0.5282981751355619, 0.423132229672139, 0.6022385919339903, 0.5697486618686288, 0.5769962834377359]","[9.092990619789768, 8.625260379508894, 7.892908084883145, 6.825594493282209, 6.922863147885357, 7.5360369747887095, 6.615919524049961, 8.737587447343701, 7.928982190562256, 7.420964936516766]"
3,best_knn,runtimes_final_npb_ep,"[0.49440487614116935, 0.4445756836218252, 0.43727884415707363, 0.8293062493922916, 0.5466426986396493, 0.30888207452596206, 0.6778268713994977, 0.5974623699695858, 0.645868832008307, 0.570182149386167]","[150.5082316209888, 175.35680586422046, 104.50581784808591, 11.901440063973066, 40.83980501178452, 154.4196809664846, 83.25064424441696, 115.34855275757579, 100.69441412794615, 103.24236825589229]","[0.1565035785921903, 0.1883342623865248, 0.14772024620583726, 0.08843611373137196, 0.10772931644855151, 0.2008767129285169, 0.12765959511591535, 0.18335209506585862, 0.10041441628770319, 0.15443400383448702]","[5.905049783549785, 6.742167388167389, 3.9594778739778747, 1.7254242424242427, 2.5805454545454545, 6.210598124098125, 3.798950937950938, 5.216959595959597, 3.785919191919192, 4.712545454545456]"
4,best_gpr,runtimes_final_npb_ep,"[0.4102043297599206, 0.20031008054802235, 0.3236958802569284, 0.7135200468209791, 0.45472311902274865, 0.3238597172879917, 0.5318885069439241, 0.5842749206594375, 0.5446547970460962, 0.5663376972487425]","[175.57349578065904, 252.47556835706604, 125.59988977472878, 19.974509788151284, 49.12020040203232, 151.07315683262394, 120.96161943865322, 119.12746205451424, 129.47382942155946, 104.16580673744275]","[0.33758457194751207, 0.3722874585432452, 0.4186608522406428, 0.2845455720323643, 0.5070761133765657, 0.3168249400483638, 0.37411661336324137, 0.4015476299526771, 0.3575768347525769, 0.31954511802960944]","[6.79634285032927, 8.07313816122078, 5.533868227932018, 3.241938954468608, 4.704978625159338, 6.329440264876024, 5.380367302016627, 5.87769259878093, 5.583284078497388, 5.694277717553993]"
5,best_dt,runtimes_final_npb_ep,"[0.8047176475708692, 0.5929825528281745, 0.9065330096137262, 0.7463131459837637, 0.6484370698179889, 0.8932650326034939, 0.8329306369336612, 0.8777382598959298, 0.843682783670548, 0.8347708441911005]","[58.13268392814196, 128.50225919612797, 17.358231818181814, 17.6880458560606, 31.66985835437709, 23.848288411896743, 43.171297895622885, 35.034525287888755, 44.44757180134681, 39.68808956228957]","[0.16705892294697122, 0.20374333081054705, 0.14521608096192817, 0.16124482888527303, 0.14937968375052027, 0.13583155098138225, 0.13682214529328096, 0.13106315086812917, 0.14542796477876974, 0.14140194748596435]","[4.53287518037518, 6.133510101010102, 2.545757575757576, 2.6450757575757575, 2.8554797979797972, 2.941498316498317, 3.348131313131313, 3.172000777000777, 3.3134848484848485, 3.194545454545455]"
6,best_rf,runtimes_final_npb_ep,"[0.8730323250917282, 0.9230544438825286, 0.9597829595509221, 0.962617980317298, 0.9074409235423047, 0.9547352180474877, 0.8804035806031623, 0.9310701220854044, 0.9467260047699124, 0.9834991218852925]","[37.796409264437976, 24.293007252888994, 7.46891184011857, 2.60642153060669, 8.338003211287264, 10.113720004194853, 30.904126012502893, 19.752095372063074, 15.148041807137682, 3.9635155506717097]","[0.1070669879598127, 0.08457910025916936, 0.07290842238798644, 0.07522891611811693, 0.08338718701592476, 0.09124675783022251, 0.09637742307636833, 0.0986987957202736, 0.07375294502745053, 0.05470773003617464]","[3.075267411124229, 2.38022608553063, 1.3317046176046177, 1.068290266299357, 1.3620471467926012, 1.773931306572216, 2.4057127967991607, 2.1937413223140494, 1.9024376852945029, 1.1373337104814376]"
7,best_etr,runtimes_final_npb_ep,"[0.868731754207669, 0.9365993116684677, 0.9029122585289886, 0.9953984816198742, 0.9541496062463107, 0.9116558142399441, 0.9327047865042344, 0.929166445194061, 0.9298305636359927, 0.9974699895814847]","[39.076625959924144, 20.016664498787748, 18.0306599815908, 0.32083597090908617, 4.130342965681806, 19.739150841666536, 17.389314566439406, 20.297600581893814, 19.952127694469578, 0.6077092120454534]","[0.06711325061310043, 0.0255680136221256, 0.020997721532996522, 0.010850995482272356, 0.03025704768512028, 0.02095912520912674, 0.024025763777822607, 0.03447117899679977, 0.022366949388991083, 0.011670209247106005]","[2.518280303030307, 1.2009909090909352, 0.8973500000000227, 0.20302121212123903, 0.8052833333333494, 1.0864060606060868, 0.9708348484848789, 1.2715045454545715, 1.131313636363663, 0.22903484848487635]"
8,best_gbr,runtimes_final_npb_ep,"[0.70967577145792, 0.6511676171722693, 0.7586314312446538, 0.5855719881979197, 0.6340504323020485, 0.6554756712081526, 0.8306131016449894, 0.8693302930328859, 0.7888824822485607, 0.6336606165787102]","[86.42525248482589, 110.13225498220095, 44.825788791989815, 28.895551979694098, 32.96585043206774, 76.97866742602359, 43.77015698321721, 37.44385732775915, 60.029606777300444, 87.9948226342931]","[0.16246500183994228, 0.16934140703502346, 0.12127771064913577, 0.1781938431663983, 0.141466971501083, 0.19280255570798646, 0.11257366019457932, 0.15895016018267344, 0.1130338017997426, 0.19508452879530713]","[5.120390337214876, 5.563715620761779, 2.8061597600954644, 3.32424092677303, 2.8940200391392925, 4.712356278175913, 2.703875123160834, 3.4344144262384195, 3.281202453723514, 4.667576695939332]"
9,best_xgb,runtimes_final_npb_ep,"[0.8880962379926068, 0.7317522704612266, 0.9425058601869706, 0.8231123602974673, 0.9136692221127896, 0.8882824221373528, 0.924853477064397, 0.9230354485579215, 0.898432592233686, 0.9475075306533354]","[33.31210396754417, 84.69032349714566, 10.677530141251685, 12.333302387945102, 7.776939126931429, 24.96157615947475, 19.418119922950794, 22.054458913093367, 28.879894072930355, 12.608705858097446]","[0.09295461274073266, 0.1340425867029964, 0.09428029730775406, 0.13937027051278852, 0.07464250219164227, 0.10662812164074295, 0.07610070167625083, 0.09344418007334754, 0.07863752057418999, 0.09185256403011453]","[2.6860079288482663, 4.317007738171202, 1.7648849357258192, 2.1474092963247586, 1.2992177859219636, 2.651707992553711, 1.712671565431537, 2.132710332292499, 2.2635625579140406, 1.8500827277790417]"
