,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,matmul_lab_omp_physical,"[-0.16035470465073454, -0.0014391098331045793, -0.06829186617597638, -0.1571270396339175, -0.042052952363899054, -0.04518654406885214, -0.025770027294684583, -0.14612073626763644, -0.08983621207795434, -0.12372003233924422]","[427435451420.4876, 133267957454.77885, 178343752867.00317, 240682665797.15646, 271306352656.80542, 224717483750.11053, 198856450171.53098, 393702796319.7216, 200322610646.33096, 146824208980.0893]","[0.7117591794007521, 0.5556366787664676, 0.6467877328554333, 0.691099892923915, 0.7507293352314639, 0.9132209645399941, 0.7992361689980904, 0.6351128939723144, 0.629847584437458, 0.561490586094133]","[377453.5341961211, 176280.006967089, 229542.62519314603, 296938.05953181436, 261820.5927558526, 294366.36388991267, 252595.56132512348, 331071.3388712458, 264692.64862855437, 234183.71329851964]"
1,best_lr,matmul_lab_omp_physical,"[0.8252934084878512, 0.790003726222055, 0.8144414842571319, 0.8418130785657613, 0.6917937456137905, 0.8537534702311983, 0.8666384834454935, 0.7336048649624105, 0.8738838278997278, 0.7934098648064206]","[64356002961.70421, 27945557752.547997, 30977678593.09212, 32902912680.25601, 80243824993.58572, 31443336467.854305, 25853551055.164898, 91509128376.66139, 23181392359.571728, 26992873945.429344]","[0.3685291151164206, 0.30739973664388026, 0.42063502058102387, 0.3950594821596028, 0.5221082479891879, 0.506063803061915, 0.43608851544318444, 0.38544466334841954, 0.29376336352582183, 0.33118692092402163]","[152554.12076071432, 92934.533425, 117968.07249285713, 118319.21459928574, 152153.45641035712, 116629.00885285715, 106171.04062500001, 157360.63565214284, 96191.34378214285, 112312.74683928573]"
2,best_rr,matmul_lab_omp_physical,"[0.8148061646037538, 0.7898954488185312, 0.8169235431614675, 0.8452020190191112, 0.6945274697811815, 0.8503046816019257, 0.8670953763451733, 0.7332196048914068, 0.8729777970959627, 0.7932321985409935]","[68219149123.64022, 27959966924.57296, 30563316456.814983, 32198012358.509037, 79532079269.5876, 32184833865.7629, 25764977498.011433, 91641468681.19023, 23347929729.063416, 27016087653.588917]","[0.3428158666888204, 0.30722203567449247, 0.4216986927139339, 0.38200354995488645, 0.49635634486389174, 0.5180033682619293, 0.43780141774432, 0.3854759653614202, 0.29404929076896474, 0.33314093638470493]","[155118.04443940966, 92444.61038545203, 117989.32454577701, 119911.95564171135, 148033.77982579943, 117119.20497895552, 103948.27767569067, 156465.39203701224, 96606.83810393974, 113414.01201932186]"
3,best_knn,matmul_lab_omp_physical,"[0.9995495815244082, 0.980537626918769, 0.9963502832774457, 0.9981574016931026, 0.9626930071646114, 0.9987128284918787, 0.9928142003682987, 0.969307003322169, 0.9974068271344123, 0.9521096492063834]","[165918941.57111415, 2589983437.12658, 609294330.332926, 383260832.48187095, 9713157217.012753, 276744801.3000931, 1393043828.9103131, 10543320818.752045, 476650667.8111723, 6257308467.140495]","[0.01694728283091827, 0.04385359577881343, 0.030896337227095255, 0.038145481888155884, 0.03567344115959655, 0.02212919489069317, 0.04085195979855373, 0.038470239244611314, 0.03391819050730651, 0.0604203866983787]","[6173.8211934523815, 19437.99105148811, 12334.384580833332, 12185.931044285708, 28418.781109047613, 7975.538258214292, 16939.15280058333, 32201.535331011906, 11595.921603282306, 34928.015903154774]"
4,best_gpr,matmul_lab_omp_physical,"[0.9773629612348737, 0.9631802440745174, 0.8203450213608675, 0.9534130559821544, 0.7637084106367329, 0.9600271391866159, 0.9570793152532403, 0.8194712216248337, 0.7990967677852192, 0.7615762578801504]","[8338719914.362123, 4899842255.002713, 29992124929.711178, 9690094080.858517, 61520299067.528015, 8594255973.970282, 8320632091.563394, 62013261442.19525, 36927989287.32262, 31152223268.59036]","[0.20448025697104846, 0.20649428058740857, 0.21084153829048377, 0.16620712583021477, 0.21382420397497728, 0.26181906410990186, 0.3454848062749787, 0.16660378654244176, 0.3557457962445657, 0.19680410455386496]","[51074.68322302589, 51513.00487842983, 82628.59654959176, 50132.64083492361, 85998.22849542163, 58952.236659294926, 59992.918103208474, 89480.89095047906, 119130.40010833423, 77718.56299822008]"
5,best_dt,matmul_lab_omp_physical,"[0.9985127358219582, 0.9253549749044949, 0.9963927009813693, 0.9955780649710813, 0.9637488952746629, 0.9951991743558183, 0.9715508766549082, 0.9592758503748663, 0.9971214766846562, 0.9524005740815369]","[547857851.375009, 9933494638.826853, 602212995.404464, 919763409.1056167, 9438248776.609697, 1032188430.6735314, 5515165708.065417, 13989112209.39107, 529100885.9363795, 6219296494.907419]","[0.031071340414788446, 0.06254887643258535, 0.046441383953545745, 0.04768610993612236, 0.038158860463414164, 0.049837415833331074, 0.055143773248551346, 0.054708806350523734, 0.037213853271859845, 0.06602704146987405]","[10515.517105822733, 33267.915308777054, 16616.36589539371, 16146.591543663415, 26363.236572203026, 17431.799244282378, 29611.89999271585, 41305.785469496346, 13491.693283308347, 36315.85281015808]"
6,best_rf,matmul_lab_omp_physical,"[0.99857805621403, 0.9942359078162273, 0.9982739972784451, 0.9989128063618294, 0.9919557983308676, 0.9992070339597134, 0.9975673804743008, 0.9935039722525184, 0.9986409176557133, 0.9945768496363696]","[523796026.86544865, 767064901.2703917, 288143917.00146717, 226136503.6939989, 2094368630.631698, 170489501.88240895, 471589216.5169684, 2231444042.695323, 249812696.87465376, 708583756.9902292]","[0.028115571534836858, 0.03150311649838324, 0.023548899178896278, 0.022931443197299034, 0.024341804712637204, 0.01757321414008202, 0.02544117278845017, 0.030209899799649078, 0.023522555893467707, 0.03659088668394604]","[12923.372604395363, 11999.226023953708, 10015.540837199382, 8584.137352377895, 14657.94470403608, 6680.748019489263, 11477.468957743633, 18169.839603653796, 9261.125662439763, 15026.65627434659]"
7,best_etr,matmul_lab_omp_physical,"[0.9995637829977837, 0.9999670993457015, 0.9999988141270887, 0.9999774826908912, 0.9999973981127823, 0.9993777087597965, 0.9999388176410987, 0.9999924580617925, 0.9999791077712118, 0.9999670035712419]","[160687598.81119242, 4378302.139618969, 197973.07469997182, 4683604.995178894, 677420.9789089316, 133794031.74661401, 11860852.21881691, 2590723.7065181104, 3840197.055935348, 4311282.536712692]","[0.014192819614207817, 0.0011978574984412068, 0.0008481777342343634, 0.0012332855236924557, 0.00019750214882751125, 0.0037697687538721944, 0.00351469634235397, 0.00204916726366361, 0.0004298531618192643, 0.002725017436199896]","[5589.438444946228, 495.16470732200156, 97.16739507235823, 409.9191418581743, 175.48421997390687, 2343.5785651795277, 1126.0823442146627, 329.69602826868606, 487.9336202149134, 440.4654114472214]"
8,best_gbr,matmul_lab_omp_physical,"[0.9952600701090951, 0.9949751601567932, 0.9907686041231166, 0.9932712467855476, 0.9026402039655458, 0.9916431087005456, 0.9595719637967854, 0.8526995015936968, 0.9960937278263867, 0.7930961609620052]","[1746029954.8922806, 668687827.2141408, 1541116091.033826, 1399582073.2509809, 25348357871.447235, 1796750633.1222713, 7837405610.280927, 50599047977.008354, 718011230.5328318, 27033862196.49258]","[0.04094580390120866, 0.03769398784743299, 0.06961823354548032, 0.04398849557525797, 0.03764991330570561, 0.03850512007527314, 0.0716031882104118, 0.07602098427369551, 0.042556204358001185, 0.06257377502601248]","[21847.332468782035, 13149.657596239467, 26589.120816951352, 20322.216438217605, 38252.661092591945, 20626.90240062723, 33340.67889418639, 83099.19052607824, 16771.299128349623, 51725.848489537486]"
9,best_xgb,matmul_lab_omp_physical,"[0.9991605679801956, 0.9984967118930727, 0.9965105293032838, 0.9985392689396112, 0.9817244039275098, 0.9991141918731926, 0.9990769937453499, 0.9857081348525113, 0.984674110537702, 0.9822774883273169]","[309218382.0032077, 200052238.33294982, 582542392.4638437, 303832365.49230206, 4758189400.844252, 190450761.6091612, 178934597.8161681, 4909384408.761564, 2817049161.6450562, 2315606808.2770786]","[0.03321230834856391, 0.040633400087419176, 0.03832635133089474, 0.041485608839611436, 0.06498085903322882, 0.03857853244261182, 0.03799784716600799, 0.038793637619421166, 0.049294651824634, 0.044523120735949204]","[12130.297461607131, 11395.498133482139, 16201.216051339285, 13213.647396696424, 27507.595010803576, 9440.79567785715, 8343.445413839296, 26889.94942375, 21401.787592410714, 23385.059105803575]"
