,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,matmul_simulated,"[0.3360647631958932, 0.32864281158374364, 0.45793182231825114, 0.20623944696672658, 0.39534266271293483, 0.19336735268801608, 0.2730964372599134, 0.35961384252452444, 0.24881137406381193, 0.2331243824422622]","[245503913.51899156, 244599822.90112072, 134173986.80054903, 305363507.1430028, 165606665.0531521, 360711888.02385926, 292687856.79432744, 207364868.4967795, 270296639.3971399, 349607484.9339968]","[1.9415576406990676, 1.4044518993499562, 1.4536526972124693, 1.3195100816720762, 1.4065041915845353, 1.5705883637250029, 1.9961207480329732, 1.8747712797713925, 1.1421126113540823, 1.7339620922767989]","[9231.522564529274, 8411.803934824486, 6046.392672803649, 9783.357113399286, 7432.984974176587, 8925.811820915413, 9539.483761998614, 8419.405666576471, 8164.039337451495, 9845.15798636543]"
1,best_lr,matmul_simulated,"[0.8363461115162525, 0.7907789515652613, 0.7782116487157265, 0.7727907773653178, 0.8228701657837714, 0.7250477892790468, 0.7923669764800781, 0.8406447294013815, 0.7475295673433664, 0.7809582536608721]","[60514441.55721925, 76226831.67368421, 54897572.93076677, 87408482.08421053, 48513231.076597154, 122953777.50453167, 83603476.12644976, 51601185.232078895, 90845237.98424366, 99857959.0743181]","[3.235151544930111, 3.312654739469799, 2.871564660398913, 2.3025662347642513, 2.7141014112225896, 3.5248313512433094, 3.082794337903076, 2.848952731652977, 2.3331911940850953, 2.6254844799367425]","[6003.436887698217, 6072.378947368421, 5868.9625843891135, 6266.1894736842105, 5588.009663792756, 7253.065605954384, 6493.500384378997, 5351.318450770718, 6400.00483463488, 6695.077476007832]"
2,best_rr,matmul_simulated,"[0.8363497813272938, 0.8152628203680452, 0.7788429285715057, 0.7894387590817007, 0.8242146791651461, 0.7246688227532236, 0.7919122442960407, 0.8403201765601267, 0.7472348566630047, 0.7802371895770694]","[60513084.56797907, 67306468.45060953, 54741317.06015096, 81003923.34878267, 48144988.82850367, 123123244.64856935, 83786574.12621693, 51706279.41074189, 90951282.3301587, 100186681.74464804]","[3.2359613455591947, 2.7636537399970167, 2.867006884346915, 2.3360852410366353, 2.6988644525525327, 3.513339738821174, 3.087103825496275, 2.8676335849519514, 2.3275364911091434, 2.629166803823286]","[6010.971031704952, 6135.456151672893, 5863.1712635871145, 6143.9240690119905, 5568.387150614804, 7252.648908715021, 6500.727080623418, 5352.4415950970415, 6397.32272605823, 6703.211075386194]"
3,best_knn,matmul_simulated,"[0.9575423258168788, 0.9492060011645436, 0.9730705629030258, 0.9536951541228637, 0.9556377321970988, 0.9692234218968181, 0.9655219047786068, 0.94996713019909, 0.9615457070932357, 0.9632689753148724]","[15699611.337161124, 18506099.784082595, 6665637.435217546, 17813697.192087423, 12150166.337178517, 13762742.720006417, 13882611.551194992, 16201255.048489284, 13836825.777464066, 16745142.06112332]","[0.125888756878267, 0.12518841594510863, 0.11284679511760852, 0.1159735344060776, 0.11899616222605312, 0.11530930136717615, 0.11385090673622905, 0.12993355886684402, 0.11816594537239519, 0.11192341971334871]","[2177.3625274658352, 2271.0724752573187, 1385.5739722791416, 2011.354703110306, 1830.6553123298163, 2088.001005853677, 2031.7985329801547, 2064.210991901341, 1866.6737008610974, 2085.996178027377]"
4,best_gpr,matmul_simulated,"[0.9231218294024163, 0.9278112276818758, 0.9471177604429623, 0.8798699466171434, 0.945987935170738, 0.69931313950476, 0.9344799393876757, 0.8980782377778713, 0.9518697932593236, 0.9026856834005726]","[28427308.41751692, 26300993.314924534, 13089535.974338656, 46214610.02828085, 14793102.43573897, 134461858.83331212, 26381664.777329724, 33003512.9170654, 17318463.946763124, 44364187.2234059]","[1.434447952509792, 0.8608173136672249, 1.3817675657613746, 1.0227759551222821, 1.0921630735291676, 1.576086884375874, 1.6415267114156396, 1.3395588615380836, 0.7859239807524023, 1.1724097784812293]","[3133.5170878093727, 2865.549320149699, 2376.762999369726, 3648.7675491248565, 2536.9689147085232, 3991.8572082543524, 3243.189708135728, 3236.1803354670888, 2573.867174030099, 3659.4762675979487]"
5,best_dt,matmul_simulated,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,best_rf,matmul_simulated,"[0.9999217570562254, 0.9999259733702273, 0.9999982383015326, 0.9999294194291926, 0.9999898194155374, 0.9999972145442095, 0.9999306249734841, 0.9999909980791345, 0.9999910870136872, 0.9999395788975922]","[28931.96178947367, 26970.591578947355, 436.05973684210727, 27152.685473684196, 2788.3108947368246, 1245.6066842105192, 27933.86752631578, 2914.9320526315655, 3207.1175789473396, 27545.105315789457]","[0.0011566505227831795, 0.0006304747400305899, 0.0005346176139741391, 0.00039041188341657455, 0.00027286819145417955, 0.0002165898075882804, 0.0007274304716340359, 0.00040084593015736117, 0.0007146340372615426, 0.000817438050265611]","[22.97052631578937, 16.319999999999975, 2.8963157894737086, 17.57368421052626, 7.34263157894732, 3.4889473684210284, 17.65421052631577, 7.164736842105222, 9.837894736842035, 19.44789473684207]"
7,best_etr,matmul_simulated,"[0.9999999998195416, 0.9999999997940072, 0.9999999995268082, 0.999999998223512, 0.9999999983530571, 0.9999999987272401, 0.9999999988369614, 0.9999999986345512, 0.9999999995976367, 0.9999999997418973]","[0.06672826375816604, 0.07505066599341292, 0.11712553591173262, 0.6834234789217072, 0.4510732044829059, 0.5691557580781619, 0.46829771377010865, 0.4421489922442377, 0.14478045493406808, 0.11766524167269972]","[5.182039343287885e-06, 5.160019056266126e-06, 1.0204786751236934e-05, 1.1324943199036036e-05, 1.0505138627408088e-05, 1.4085620046158053e-05, 8.548074158985395e-06, 1.1678114037006045e-05, 8.204884409302703e-06, 6.415636493407612e-06]","[0.04886821935498646, 0.04672099081854436, 0.08241953951582649, 0.13536761502897016, 0.122155963654524, 0.1869934743529053, 0.12237550731168946, 0.12714837506861698, 0.07999801370009377, 0.06827982977637906]"
8,best_gbr,matmul_simulated,"[0.9999755370196988, 0.9999856926415084, 0.9999737098103119, 0.99997790708112, 0.9999641654375329, 0.9999810483537479, 0.9999790381719498, 0.9999847979849161, 0.9999717566471675, 0.9999860711320843]","[9045.697633416356, 5212.690671407116, 6507.409417168891, 8499.252282612339, 9814.554488740601, 8474.841829839475, 8440.284022541235, 4922.598375919528, 10162.671654415513, 6349.969106453333]","[0.011792777589380642, 0.010142061271549348, 0.013022026608562198, 0.009733570754300551, 0.009505948266712885, 0.009466703746410551, 0.014433654224180874, 0.011094083424074284, 0.00913359619739412, 0.010157483511490133]","[54.86615071197348, 47.058994153022226, 53.74966215987251, 59.20018110401891, 62.143835797161174, 54.555977256655616, 59.18524996133896, 44.879608407765254, 62.54243261334358, 54.755725524220374]"
9,best_xgb,matmul_simulated,"[0.9958746639399694, 0.9969683202641116, 0.9957478213457543, 0.9950058402010278, 0.9960550984090992, 0.99186434407951, 0.9958029937756393, 0.9945086692886023, 0.9953931453987113, 0.995624140072782]","[1525429.1249755595, 1104551.1082416957, 1052509.2342965235, 1921277.3242749085, 1080449.9609037011, 3638121.785885757, 1689925.3487354366, 1778160.0328938004, 1657662.63482454, 1994891.1512537203]","[0.39611951402060297, 0.23802976118653843, 0.34519980813978135, 0.29369898206799894, 0.2595490032634463, 0.3798836264073911, 0.3330664198575675, 0.3602656784492395, 0.2938959816822002, 0.3405125972722854]","[875.4532785842293, 684.3449107923005, 701.6183734693026, 840.6697599310623, 706.5736943395515, 1034.8148863139907, 817.0957301892732, 831.4764645877638, 866.0656531785664, 906.8795470388312]"
10,dnn_1,matmul_simulated,"[0.908760055257509, 0.8993129458878161, 0.923448507023142, 0.8451359593686547, 0.9219303553089236, 0.8285035158039198, 0.8791725685183142, 0.9052958164206588, 0.8352672739643439, 0.8545918767114429]","[33737874.210985884, 36683953.08669254, 18948205.098786604, 59576942.18591608, 21382116.286196034, 76690201.92768858, 48651188.10125187, 30666372.695254613, 59274995.26590283, 66289456.99666556]","[0.1800378, 0.26707932, 0.22405242, 0.22366506, 0.17675835,0.25610866,0.18423694,0.1953377, 0.21961045, 0.21233445]","[3209.3132208924544, 3030.565732735082, 2253.9406029149104, 3513.0866054509816, 2556.86312000877, 3570.478956769642, 3218.6080892864024, 2863.0709133650125, 3408.3947917135138, 3786.025806145919]"
11,dnn_2,matmul_simulated,"[0.9818236610866176, 0.9733683995446218, 0.9888404791362319, 0.9670517840682931, 0.9804732161894929, 0.982617563363407, 0.9713231850980342, 0.9393069708437272, 0.975224186569852, 0.9818274464020235]","[6721080.746011875, 9702859.919211932, 2762230.7796764947, 12675337.332603937, 5348096.097834523, 7773118.976196715, 11546724.935155073, 19653145.00125451, 8914963.402372416, 8284603.934142531]","[0.11115426, 0.09260894, 0.15109245, 0.10449514, 0.05453999, 0.05992214, 0.09533503, 0.11136839, 0.09597369, 0.09340539]","[1339.9354832699423, 1538.2903278551603, 1194.3954087106806, 1677.564603464227, 951.5083733809622, 1274.3846978438528, 1612.2202985261615, 2391.243867091129, 1726.444696848016, 1571.180535728053]"
12,dnn_3,matmul_simulated,"[0.9641971070665286, 0.96277577811343, 0.9895261601087728, 0.9534179496994623, 0.9702711068828846, -0.7484005238167875, 0.9495555405857994, 0.9682096872902661, 0.9700422197697408, 0.9673516648904873]","[13238867.05091701, 13562136.874658333, 2592509.417038048, 17920339.068660792, 8142302.327689615, 781853866.2791467, 20311471.1082659, 10294091.990547007, 10779565.931187306, 14883903.026242306]","[0.10904137, 0.11433931, 0.05392966, 0.08774128, 0.06504607, 0.9919955, 0.14986371, 0.08574289, 0.09002738, 0.1083376]","[1858.417375102796, 1794.7909194143194, 790.1244728489926, 1930.525857704564, 1216.1010949385793, 18294.02934887535, 2264.7161527934827, 1325.9498127184415, 1793.6146134225946, 1982.3176096062912]"
13,dnn_4,matmul_simulated,"[0.9786762778963736, -0.7812014736081863, -0.7051071140978031, -0.9088652574162879, 0.9668741003142565, 0.9846273826143261, 0.9808232237369781, 0.9721266004491896, -0.8514949418615492, 0.9752444497825072]","[7884891.38252547, 648956431.1116683, 422052112.3355805, 734349656.7580553, 9072691.978658298, 6874363.267508723, 7721532.583346482, 9025747.613280263, 666214640.859714, 11285696.730400078]","[0.07647919, 0.99323545, 0.99188417, 0.99388731, 0.07961254, 0.07062203, 0.0707153, 0.08061711, 0.99383013, 0.08202989]","[1527.3033683375309, 16870.68724361219, 13210.971454138506, 18698.792506770085, 1321.3505353425678, 1393.0374180843955, 1114.6579797042043, 1420.7377123380961, 17503.981980454293, 1642.6253586618525]"
