,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,montecarlo_lab_omp_Physical,"[-0.18730478910853243, -0.1657366205934343, -0.3792614950427535, -0.47502244705783014, -0.0780854500055852, -0.09824404845382628, -0.21474856100064343, -0.11067148391720694, -0.2703940324755325, -0.23802974063424043]","[18724314011427.695, 10735776586087.02, 80836771382641.53, 34383568500393.555, 9880789678577.016, 36236201611171.1, 60545128525690.305, 58802267427388.31, 31567181186280.11, 48695827924120.95]","[2.005128772646351, 1.5268846329144823, 2.296347663876547, 1.000837419705062, 3.23892831697498, 2.6868181106309637, 0.9344762782193534, 2.7065532456032675, 2.059104654640782, 2.1002291050696127]","[2517961.2866844097, 1926128.4879367573, 5525002.755149379, 3746547.627165179, 2032071.9813240618, 2825918.5814191503, 3881516.9563774965, 3591892.4316281183, 3383780.8212334793, 4058601.1706827446]"
1,best_lr,montecarlo_lab_omp_Physical,"[0.7539113863215094, 0.6952292216749643, 0.8330306354951867, 0.8593749395992308, 0.530251504605094, 0.8171771864191559, 0.7809237926630522, 0.7659105233993143, 0.8698901769401506, 0.8439115088719257]","[3880924695513.691, 2806766921673.7856, 9785863228177.88, 3278045976050.3267, 4305304449476.639, 6032178677739.079, 10919129732666.756, 12393396431196.18, 3233012950038.566, 6139479574226.126]","[2.240670060217822, 1.705703516477191, 1.7828759343231884, 1.2822333691703058, 3.8075666008507194, 2.8444578253531994, 0.9707604673129949, 3.027433227391619, 1.729770317070285, 1.732496804441052]","[1437465.0196110364, 1121176.0099735593, 1631600.5221995793, 1174536.46225812, 1581214.821581152, 1402323.4327046243, 1985046.1151130963, 2108516.256618857, 1292194.7419945314, 1694121.200488698]"
2,best_rr,montecarlo_lab_omp_Physical,"[0.7294461490600018, 0.6236710632919246, 0.6788263240738318, 0.8962307510307048, 0.5671060001591681, 0.7020512146783755, 0.5890448781504124, 0.6020548220891542, 0.7913999845387819, 0.7559248808756959]","[4266752150309.4414, 3465777188436.3286, 18823582843630.01, 2418917140743.87, 3967528330451.962, 9830722297032.186, 20482700263648.074, 21068406915809.05, 5183363834521.104, 9600286335082.346]","[0.37097061394952535, 0.3837853883143344, 0.2999321839391347, 0.18920192705154762, 0.4321026362093225, 0.4032041500839128, 0.4236378761653591, 0.560165971335893, 0.3763881888490647, 0.38875451507049397]","[1198203.3107354254, 1050900.3050066263, 1953949.4033165758, 861959.3604196137, 1029542.9570718978, 1210238.3810315344, 2267830.619816835, 2023727.821370596, 1303693.275265737, 1537489.420640155]"
3,best_knn,montecarlo_lab_omp_Physical,"[0.9986270902302894, 0.9991245918173538, 0.9996419209961228, 0.9902677713769269, 0.9994134673697643, 0.99925666989166, 0.9998574697949413, 0.9998617758438435, 0.9931253764011925, 0.9987665705461795]","[21651385451.51428, 8062015471.159828, 20986557427.56767, 226863496342.30762, 5375645834.893069, 24525932744.533607, 7103947155.09097, 7317999888.296972, 170822975536.3033, 48514883341.18543]","[0.029136564382201552, 0.027039232098916097, 0.03385597517156105, 0.05059416528350895, 0.03241540056267751, 0.0530918653000396, 0.030289230522235953, 0.01883709365706022, 0.0388711145210383, 0.039820925752720206]","[87350.19601231876, 52570.67059855064, 93197.29630507235, 266296.33408819855, 46685.160054347834, 91108.95856159405, 59689.03688478251, 48681.43667028991, 179651.20564492742, 130840.22726014488]"
4,best_gpr,montecarlo_lab_omp_Physical,"[0.9506960245210708, 0.9110367975185371, 0.9655047793205432, 0.7422632726911027, 0.9261721545254777, 0.9594652296603903, 0.9793637740151302, 0.8426050187814411, 0.9634163346700846, 0.9277562422193093]","[777545182456.7792, 819300903267.1606, 2021721245667.4734, 6007982072523.185, 676641553368.9463, 1337431431890.3162, 1028544502666.3994, 8332960656107.358, 909043306569.464, 2841587307650.7334]","[1.2415316144052477, 0.5995668195661729, 1.4744720331430217, 0.6627528603792189, 1.9977200187485615, 1.8591936296332394, 0.4191447349371299, 1.2377914765137508, 1.4945468883035744, 1.2074248807609878]","[614188.3023385591, 602377.5694674681, 1053842.9678264637, 1592411.8725251139, 554086.0187057132, 872289.4938549221, 590674.4530981837, 1294393.7057093696, 628618.4875454258, 1053336.8312083336]"
5,best_dt,montecarlo_lab_omp_Physical,"[0.9910356533384487, 0.9955496212699948, 0.9944078770339456, 0.9878995095243878, 0.9989020071092621, 0.9938186371358277, 0.9973619693908786, 0.999147502547061, 0.9920911072298165, 0.998528128125217]","[141371653966.1306, 40985477272.29124, 327747252696.6675, 282068956975.1747, 10063243893.976112, 203952037157.21994, 131483919727.70927, 45133762714.5076, 196522846201.30414, 57893616920.760735]","[0.05290398171081633, 0.05778223870097433, 0.05974725248799554, 0.05053765809991494, 0.04019650680059595, 0.07064467681277767, 0.06092131738647535, 0.039482676571474286, 0.05114626045453654, 0.04912270193313419]","[191329.6213463768, 130526.06792239126, 306891.3072086958, 279636.96044891287, 64398.82012717382, 218543.9854615941, 195144.6075369565, 108521.24009594198, 218885.7188547826, 149277.7763086958]"
6,best_rf,montecarlo_lab_omp_Physical,"[0.997036586006709, 0.9988604030373384, 0.9996079943971141, 0.9982309124792383, 0.9998895634820664, 0.9987311575386076, 0.9999633815100729, 0.9998941113414797, 0.9989507609563708, 0.998908861787662]","[46734330279.17157, 10495045084.10402, 22974952476.44868, 41238383913.83702, 1012164672.5968424, 41865040205.36974, 1825127643.88476, 5606062013.838447, 26071847120.864235, 42918095491.165665]","[0.03039397789381329, 0.022887904460548825, 0.022917764077231034, 0.026559263837676258, 0.014336007355767436, 0.031238229825733075, 0.012684877734336086, 0.015277505563812428, 0.020425176771917096, 0.021642232039856456]","[106993.68905347813, 50067.2356747825, 92807.9104639131, 115813.4246660871, 20347.262836956586, 84936.97140043468, 30770.24111173918, 37354.74329869575, 79652.10205086958, 90241.4629230436]"
7,best_etr,montecarlo_lab_omp_Physical,"[0.9980183117045786, 0.9999063320249276, 0.9999846397374478, 0.9999784142345228, 0.9999765216455799, 0.9993989899402879, 0.9999725704880004, 0.9999982529277982, 0.999928610241273, 0.9994970372280144]","[31252088138.296253, 862629204.4736711, 900245556.6038564, 503175831.25409013, 215182091.57085216, 19830129491.46651, 1367133399.2354934, 92495223.21668926, 1773916903.7089138, 19783198894.962788]","[0.03142942456826572, 0.0039216914251431825, 0.0068583305636764225, 0.004473637027168599, 0.005766487132973273, 0.015110471700934101, 0.009422097706017549, 0.0034751876695907997, 0.006789689043472783, 0.011908889008419155]","[95785.55258631866, 10282.056277586908, 11203.711181884591, 10876.873638174084, 6105.8951913984365, 42199.77320302174, 15056.376136833858, 2741.4772148193238, 16532.65288002186, 39385.81428764506]"
8,best_gbr,montecarlo_lab_omp_Physical,"[0.9990093670808727, 0.9967289017186274, 0.9970533371452417, 0.9936709342489048, 0.9984370062519008, 0.995759629798185, 0.9977221099039149, 0.999791784715126, 0.9843717708717823, 0.998486848403608]","[15622712902.323702, 30124969671.16983, 172700182226.45706, 147533934978.6472, 14325035639.632671, 139909621868.92532, 113533905750.22711, 11023539400.192326, 388335530473.02325, 59517285685.93739]","[0.021043779773389608, 0.041478532100860145, 0.03687621526969998, 0.04759005183851541, 0.03073438414506296, 0.05303661042024545, 0.037433989288842236, 0.02799769399457568, 0.07350870154485518, 0.04345724954812923]","[61351.49670800478, 104916.6875016218, 237884.40148523802, 230550.2054547717, 70562.8345134166, 177336.56406213294, 165579.1464062577, 62512.14536537236, 291674.10972677637, 134408.2238025677]"
9,best_xgb,montecarlo_lab_omp_Physical,"[0.9874425731279463, 0.9822756999189179, 0.9950848760969694, 0.9812568964679813, 0.9845742722843394, 0.9957948871989827, 0.9956011796914513, 0.9948083654492983, 0.9837264635543449, 0.9921147963851187]","[198036094930.9542, 163230803985.89038, 288069194053.97455, 436911848689.8976, 141378748035.83493, 138746315511.4806, 219244664692.67233, 274860647505.72665, 404370345254.60986, 310151287787.48517]","[0.3471618450989374, 0.24313586924048283, 0.38713446787238365, 0.1538556609338601, 0.7738901918987575, 0.5637033227895255, 0.4328312446574443, 0.32889416304462626, 0.541035480370551, 0.39164180545947463]","[330414.4973543477, 260201.40303804344, 386775.7129467393, 407347.62514218764, 292911.2915021738, 292221.5675578804, 371682.8070381795, 289378.55456494575, 443515.08345815225, 321190.4254108696]"
