,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,montecarlocalcpi_simulated,"[0.26627590165214143, 0.319898579115968, 0.2929143755296888, 0.18518069893275402, 0.18611608215787778, 0.16499374449784776, 0.22542172336615984, 0.2526664499249476, 0.21334601748453463, 0.1451289967008338]","[444129058.08619225, 428649406.73786885, 526914740.8053937, 637637671.1714966, 698004073.5501887, 669089675.6966405, 627772461.1859695, 456289267.52053225, 668384046.369435, 796565714.9005408]","[0.43815304289735457, 0.3870633400554361, 0.3750387399558554, 0.3598493823911669, 0.3380639061765874, 0.36714633935438235, 0.4526699545342559, 0.2683926956499806, 0.43959915664664945, 0.45749078143058425]","[8622.162841091216, 8228.07867621749, 10151.352835291194, 10576.595842023904, 10971.084757216278, 11653.135552690499, 10258.806205448413, 8705.802464172644, 10898.992283049574, 11810.35183599099]"
1,best_lr,montecarlocalcpi_simulated,"[0.6956283097589886, 0.7545979731648504, 0.7821279686436857, 0.7069135301218358, 0.7352524920879522, 0.7840519661802543, 0.7267071112867878, 0.7638338977007584, 0.6928801248134955, 0.7372017524239576]","[184238615.5766601, 154670215.3311546, 162356553.37619877, 229355114.5146038, 227053066.08689716, 173038943.0782036, 221495689.39333847, 144192720.66733524, 260945764.54215828, 244874458.42371315]","[1.6633681689719837, 2.151619028039825, 1.879006064644339, 1.4430379189404312, 1.5109550115660868, 1.3983495284602878, 1.4948070060687928, 1.3439818839138382, 1.72388849604137, 1.5178620253297705]","[9366.560280131114, 8853.12506308672, 9696.06301569309, 9896.802840341374, 10413.622365754223, 9481.442138546157, 9978.700418683004, 8489.33805654972, 11262.939279405833, 10299.416715803678]"
2,best_rr,montecarlocalcpi_simulated,"[0.46985967196600464, 0.475406820956801, 0.4821978774473542, 0.46463736542314993, 0.48709555420403994, 0.4214366143342878, 0.43857487185377597, 0.438650163225934, 0.48615101578438713, 0.48761237746987796]","[320898175.58590823, 330636796.3226813, 385862138.5460875, 418948573.1335751, 439877708.18323135, 463602261.1018918, 455018227.46652204, 342735724.65559155, 436594069.217851, 477440937.0206009]","[0.9618262763951857, 1.0672637274677061, 0.9189483112681657, 0.8577647183460543, 0.8817083416622881, 0.8813064150266474, 1.0035876622611104, 0.93718909481963, 0.8770239376248615, 0.9815687657592821]","[11413.906911609965, 11817.284674351387, 13269.440202031312, 12967.836849872863, 12836.011577265333, 14542.314857303745, 13665.208342654676, 12934.162583705673, 12553.046480904568, 13377.735968447338]"
3,best_knn,montecarlocalcpi_simulated,"[0.9770939625959724, 0.9749127976494139, 0.9700604310507216, 0.9834102572409282, 0.9817140408406692, 0.9776564051971249, 0.9624872583074439, 0.9849005011538564, 0.9788516795265921, 0.9906795921355213]","[13865207.425577505, 15811780.528723903, 22310735.315191835, 12982320.036323857, 15682425.59187811, 17903900.122954603, 30402952.017336093, 9219095.366108047, 17968764.318378102, 8684722.402655866]","[0.09762885116371567, 0.10882263544447292, 0.11402641636194662, 0.10738286686039605, 0.10530599722914662, 0.09610414583031444, 0.1161092427275259, 0.10006438168095606, 0.1024738129273095, 0.08887496436136365]","[1772.8385621560053, 1753.923736463044, 2039.9806075153906, 1876.3091386255526, 1786.2955264881848, 1923.2199816779146, 2610.695584683661, 1663.319058082944, 1971.4650466061014, 1476.6053117810727]"
4,best_gpr,montecarlocalcpi_simulated,"[0.88130365054948, 0.8716814845592522, 0.896132642034853, 0.8591800864073518, 0.8767636233383044, 0.9125072510987525, 0.8996879597495511, 0.9252016317606847, 0.9499158186195236, 0.8239753414956603]","[71847848.52839343, 80875666.22881617, 77401152.14666538, 110198766.32791887, 105690124.88598537, 70107852.00996901, 81299899.9510789, 45668620.995565765, 42554246.91697337, 164019141.36812046]","[0.7779382278912375, 0.7157876719507446, 0.46831772266879795, 0.6193343816723184, 0.5720914363745743, 0.5559893101562645, 0.5153479689547615, 0.38734325610110404, 0.5083917865161853, 0.5297099630569018]","[4296.216816355711, 4348.645450409622, 4082.938316277515, 4929.880026462076, 4918.550913748753, 4514.2929268907465, 4284.072243123212, 3425.078142063644, 3604.035193612305, 5856.678434753104]"
5,best_dt,montecarlocalcpi_simulated,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,best_rf,montecarlocalcpi_simulated,"[0.9999941132199152, 0.9999990688595286, 0.9999988708464613, 0.999997808333646, 0.9999992189151217, 0.9999986876621271, 0.999997416431584, 0.9999945543661164, 0.9999942304536903, 0.9999990937685215]","[3563.3150118881244, 586.8724846153863, 841.4364874125423, 1715.0907300699278, 669.8749230769238, 1051.5750223776106, 2093.904711888092, 3324.866514685325, 4902.120619580432, 844.4232202797238]","[0.0006566268598785548, 0.0004035260900299332, 0.00024592491142597913, 0.0004303511350369929, 0.0005358744939783174, 0.0003823522385169581, 0.00034573158022334344, 0.0003349418260606576, 0.0005973639567816235, 0.0004904233270743613]","[16.145384615384774, 6.373496503496506, 6.359090909090844, 12.391328671328658, 7.43132867132888, 8.685734265734338, 10.007132867132867, 9.31510489510497, 18.275384615384667, 8.192937062937089]"
7,best_etr,montecarlocalcpi_simulated,"[0.9999997980857975, 0.9999998060875933, 0.9999999999870498, 0.9999999999901479, 0.9999998579191361, 0.999999847470724, 0.9999993981654139, 0.9999992005069887, 0.9999998561578936, 0.9999998692277673]","[122.22027972028107, 122.21770979021113, 0.00965034965037471, 0.0077097902098145045, 121.85155594405593, 122.22155594405726, 487.7688811188824, 488.13555944056213, 122.21608391608525, 121.85309440559436]","[3.668782238176133e-05, 3.596876768992752e-05, 1.4666110900019722e-06, 1.3052946506989706e-06, 3.589897262439827e-05, 3.717097992203012e-05, 0.00014322421426262846, 0.00014316584480126074, 3.636798818576385e-05, 3.631362390743848e-05]","[0.9412587412587756, 0.9332167832167978, 0.01958041958042244, 0.01503496503497044, 0.9374125874125824, 0.93951048951043, 3.7223776223776315, 3.7167832167832198, 0.9286713286713013, 0.9416083916083478]"
8,best_gbr,montecarlocalcpi_simulated,"[0.9999999990639391, 0.9999999991655276, 0.9999999991797838, 0.9999999991408736, 0.9999999991934078, 0.9999999990930196, 0.9999999991676112, 0.9999999990252064, 0.9999999992062205, 0.999999999181766]","[0.5666051317580012, 0.5259452466622314, 0.6112187683700626, 0.6723102745723146, 0.6917505741958837, 0.7267624599365693, 0.6746261748001723, 0.5951664568114117, 0.6744382915790855, 0.7624274756516468]","[8.895663386537088e-05, 0.00010559103389986734, 8.794655968745743e-05, 7.248304835956814e-05, 7.974468918231532e-05, 7.841958039153416e-05, 7.900027479216843e-05, 6.675661031441108e-05, 8.650140764036632e-05, 8.434189229162494e-05]","[0.5462652928383641, 0.5354004375911013, 0.5649569030628812, 0.5675815410981973, 0.5696689984365866, 0.604427939905568, 0.5526955976675578, 0.5430587998191704, 0.5768343163091737, 0.6088834974266988]"
9,best_xgb,montecarlocalcpi_simulated,"[0.9984790375549855, 0.9985148206296846, 0.998470256546675, 0.9988152799407929, 0.9971988669359033, 0.998948860787583, 0.9992019143160041, 0.9986487605428936, 0.9990269697718713, 0.9993870815837316]","[920650.7181784515, 936068.1163664386, 1139952.9948177724, 927103.884939327, 2402311.0009096786, 842276.7974656263, 646824.5097922237, 825007.8724098281, 826739.4503448011, 571115.1677227635]","[0.11363413037964272, 0.11225270708678316, 0.0986712574964119, 0.06853075762635251, 0.09771060768486187, 0.069829071633451, 0.07275567598318022, 0.08060687707545927, 0.07103052931367689, 0.05880856663435359]","[675.8473470194357, 587.4011582594651, 656.2659447943414, 615.4290839775459, 785.1879038777384, 615.2600046437936, 555.3795648321405, 547.5082107223831, 601.6889654839789, 523.5479010735359]"
