,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,mser_simulated,"[0.39579613028411953, 0.4791814418885574, 0.5829236779888245, 0.46951636199418967, 0.30995667435668295, 0.41954019824208577, 0.4470521702561818, 0.3727090251987579, 0.41343278282987317, 0.32221912938793107]","[5262707.544213516, 7140556.14622143, 2429351.3229923532, 6822103.073070921, 8455529.173968224, 8470709.552475957, 7633784.627653651, 5884562.770081916, 6962424.456178169, 6239244.900622594]","[0.11782649139699863, 0.09885434711715728, 0.09775328447741612, 0.10995398369482735, 0.11761556115161277, 0.10035525683527237, 0.11226469730376833, 0.12409162271424301, 0.09861521583826531, 0.12054984784690741]","[1365.9566252831119, 1634.4842847515156, 1019.2471532927366, 1584.061358207667, 1704.3185418386493, 1827.4803694091504, 1700.523444363058, 1497.0955103621752, 1538.0722350954009, 1461.501270174306]"
1,best_lr,mser_simulated,"[0.679515328432468, 0.49563918709909516, 0.48922926534484223, 0.596552846819727, 0.4610510174893211, 0.5663123251316313, 0.5041539545331368, 0.5830871993690825, 0.48907893785517553, 0.5977495388832211]","[2791470.2030232823, 6914916.234037452, 2975094.711674943, 5188393.885020652, 6604076.404406957, 6328848.818080087, 6845459.401335341, 3911023.18304616, 6064521.156527426, 3702876.9136395566]","[0.08920213964610318, 0.08554949827791068, 0.0924753423963809, 0.08978003306218112, 0.11320891749870825, 0.06960880684867309, 0.10933442406912607, 0.07698428310388439, 0.0941936943392977, 0.09689465992571145]","[924.8784298390146, 1519.975311645622, 950.4894047079162, 1335.1626334168427, 1549.5151996316617, 1396.2151630368007, 1552.7045346892446, 1013.1466441514322, 1415.215226636068, 1085.0844780823036]"
2,best_rr,mser_simulated,"[0.36584279317471946, 0.265595242707118, 0.11953799704065227, 0.35036678267265664, 0.1549200068901928, 0.33750690479556167, 0.2653195461562361, 0.400468122878067, 0.13928335835879635, 0.1870111280903255]","[5523605.663343631, 10068877.772938045, 5128441.531803084, 8354385.415086596, 10355289.69056415, 9667829.83593762, 10142715.195009468, 5624157.058384108, 10216518.10770078, 7483888.810176504]","[0.14386496105465896, 0.14893008169335428, 0.16572106584892707, 0.15882645189398817, 0.16461953418162095, 0.1399238421702477, 0.17283878608120032, 0.15589998212316794, 0.2122460385476246, 0.16606420576587785]","[1556.4869076827927, 2156.400975340201, 1600.7682316433663, 1968.7010148848585, 2131.3447434982995, 2118.281806477168, 2211.97486059812, 1675.1478221685982, 2375.954225836113, 1818.1021288827744]"
3,best_knn,mser_simulated,"[0.4872517184635874, 0.8348039570533138, 0.7767122086088877, 0.8267591978556093, 0.2746667193663468, 0.8257535048736918, 0.7077971463611149, 0.4973943514570377, 0.8079743449672729, 0.43638193569587536]","[4466115.469920947, 2264880.1610906026, 1300588.0765619308, 2227903.980475973, 8887958.896682553, 2542797.0141633493, 4034039.980405563, 4714900.430993632, 2279302.486872055, 5188330.456173352]","[0.09930421754071676, 0.09352878409966099, 0.08681517079257761, 0.08658145541229602, 0.12657962630392905, 0.08094203874089487, 0.1131139086010919, 0.11108781028188032, 0.08778449799816158, 0.12373419318464823]","[1051.1673564588739, 1028.2058354976502, 762.3872795322532, 981.9419152954539, 1545.5478461828905, 1036.5178436357855, 1151.7099841983425, 1079.0711701374976, 970.7334833287969, 1392.8224364242171]"
4,best_gpr,mser_simulated,"[0.695617839534224, 0.7652330433311225, 0.8602237398540296, 0.7806012760830168, 0.5689869048257815, 0.7626082416047383, 0.8060716193154712, 0.5191212833372714, 0.7599634824063631, 0.6265536145332868]","[2651214.8837453, 3218715.249799051, 814157.0848978529, 2821502.1188749583, 5281470.981855069, 3464282.3317444143, 2677300.4824364656, 4511081.9486839855, 2849180.9149045176, 3437723.838495185]","[0.09269062664833477, 0.07424892276699198, 0.07792865364220243, 0.08942763610996811, 0.08824142481647856, 0.06733326112481886, 0.07233497048628511, 0.09571988738758554, 0.07897448574947973, 0.10847298418297768]","[926.0925024744812, 1028.1316039555459, 684.1037381083873, 1065.4245751948993, 1212.0954091479373, 1097.3646080162446, 1003.9230396199646, 1116.0653663274734, 1068.3928140502633, 1203.3646600145114]"
5,best_dt,mser_simulated,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,best_rf,mser_simulated,"[0.9793065665765706, 0.9999702017797498, 0.9996772694330237, 0.9997100586260818, 0.978134357654792, 0.9999950730977023, 0.9891766601389642, 0.9903902944286054, 0.9999984391273858, 0.9841771824480422]","[180242.95051995103, 408.54125000000204, 1879.8140495562282, 3728.691699999998, 267933.28750060045, 71.89879166666759, 149422.8587339339, 90147.82279435052, 18.52721622289609, 145655.3851031277]","[0.006063526219798103, 0.0012266696330803953, 0.0005190854577028634, 0.0007311283712106829, 0.008061219471172082, 0.0004401325816988347, 0.005005409116901944, 0.004253233487263655, 0.00018051708850785203, 0.0044465847535782276]","[73.7556398809524, 8.020833333333295, 9.610930059523783, 17.008333333333272, 110.18647321428567, 2.9129166666666415, 75.63980654761906, 57.18480654761907, 1.6275967261904423, 59.89240327380952]"
7,best_etr,mser_simulated,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,best_gbr,mser_simulated,"[0.9999724797041639, 0.9999733185180729, 0.999972476445395, 0.9999731097081056, 0.9999731635585556, 0.9999734312065791, 0.99997341067345, 0.999972688396939, 0.9999731708167919, 0.9999720020333791]","[239.70595981700805, 365.8099674012827, 160.31690188156657, 345.8133857965294, 328.8435742021193, 387.72113339624804, 367.081994644509, 256.2078031093138, 318.4565312195635, 257.732518047178]","[0.0013488450763732701, 0.001061200931000497, 0.0010905763554825726, 0.0012702852641276817, 0.0011208206183437304, 0.0010821900845079688, 0.0012519428031507222, 0.0013004083531110826, 0.0010446055850378206, 0.001190881040118028]","[12.576664399750394, 13.810199725626015, 9.991886209340892, 13.68305214848317, 13.316407158913307, 14.682038400257788, 14.297109276689895, 12.49083075802512, 12.680721826817015, 11.91698519645697]"
9,best_xgb,mser_simulated,"[0.9999005001425058, 0.9999095775606015, 0.9998417456895009, 0.999975467902653, 0.9981162671874536, 0.999927490192051, 0.9997749040663477, 0.9955886228177073, 0.9993379435187792, 0.9990200077293848]","[866.6588827530359, 1239.714859134004, 921.7864891639534, 315.4866327803333, 23082.5473713515, 1058.1430806776546, 3107.5877065255263, 41382.750548792115, 7858.465494306649, 9021.222112043455]","[0.002221422646547956, 0.0014906124829238718, 0.0018350573467048853, 0.0008681979951431241, 0.004864131058723934, 0.0012150511974574453, 0.0022113154864683133, 0.0044132340885048955, 0.0014830209608328601, 0.003256951949639668]","[21.25617567698161, 17.168379738926888, 17.691795190175373, 9.873480225602785, 62.94335746765137, 19.38392718633016, 25.44808618227641, 60.60400942961375, 29.415923674901325, 33.201690991719566]"
