,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,runtimes_final_npb_mg_Physical,"[-0.05897674295930466, 0.2632595993076231, 0.2825566976920254, 0.4648957672455726, 0.2399852533145007, 0.4458962393631213, 0.14619884327383614, 0.3236976567229978, 0.4582412010991518, 0.3547488471098479]","[3.035900782337461, 1.6171890186179902, 3.0065356905022687, 1.955469872191074, 3.9215416770659446, 2.8877497573294515, 5.256152334897052, 1.0718017179151675, 1.530925296130333, 3.4111943436465584]","[0.22550515505625926, 0.18730673470672424, 0.28706866317769925, 0.5786422098715663, 0.34068291066224776, 0.5923774984222724, 0.5839967829002094, 0.15703176492867219, 0.5102421725236277, 0.5133550833721896]","[1.3173596911917942, 1.02703162027938, 1.2189143353209593, 1.166208916260729, 1.4417318458672284, 1.3990821398468392, 2.0338155864217167, 0.8054837894480212, 1.024030143477119, 1.3156289833024162]"
1,best_lr,runtimes_final_npb_mg_Physical,"[0.8299871308152252, 0.8765489445113989, 0.8253590745455396, 0.8563790238618911, 0.9441497696723213, 0.9436952969654347, 0.9487345399448743, 0.7206574466408628, 0.9194315475100479, 0.9572620930451131]","[0.4873971085740159, 0.2709824126454093, 0.7318545921497622, 0.5248444595683706, 0.28817731084678067, 0.2934358220880683, 0.3155993236194958, 0.44270115511710323, 0.22767379549199884, 0.22593885467822183]","[0.08653206856139191, 0.10790491889505843, 0.10913088292923824, 0.19772548192398903, 0.08866927844965743, 0.10644406433575739, 0.13225524940096667, 0.11192691233863233, 0.14597000282858866, 0.08411673055279395]","[0.48353709119941735, 0.47947245083776885, 0.5091854454556028, 0.5615500710227272, 0.40964895215583347, 0.42065340909090926, 0.48444602272727283, 0.5234998519565789, 0.4052539062500001, 0.3557941933050028]"
2,best_rr,runtimes_final_npb_mg_Physical,"[0.8382574954950115, 0.4371526068668048, 0.6821984095070948, 0.8886431830307002, 0.9197699599944021, 0.9500010370562629, 0.9364798171683231, 0.7129938151289871, 0.8801695961827609, 0.91296348708836]","[0.4636874220596407, 1.2354835196730705, 1.3317872244978455, 0.40693922289808265, 0.41397281698379307, 0.26057302506221514, 0.39104158465187877, 0.4548464530028049, 0.33862190484311655, 0.4601285239167198]","[0.10463458014305636, 0.16819659469784415, 0.1535193310950629, 0.1946916058193666, 0.1258932772747522, 0.1827381728221655, 0.19696839406566824, 0.12248270570993963, 0.21287278211823357, 0.19673074205263558]","[0.5186574449058893, 0.8399758312503859, 0.732133242880172, 0.47953071851846185, 0.48501138724551435, 0.4541880064393952, 0.5738349342453982, 0.5839384205491238, 0.5089254304793402, 0.5795457035020575]"
3,best_knn,runtimes_final_npb_mg_Physical,"[0.8029820781165284, 0.9403419367202516, 0.8039443621075535, 0.84731528129401, 0.9696616100849733, 0.9736277635823163, 0.9838588555089559, 0.8503036296793891, 0.9449511689741462, 0.9700992820846395]","[0.564815863197401, 0.13095299880033376, 0.8215956170356705, 0.5579667457247598, 0.15654072632894114, 0.13744071909540548, 0.09936776688125602, 0.23723831282007002, 0.1555593524477447, 0.15807358013541292]","[0.09347040516892088, 0.06812147275703223, 0.1028424501852045, 0.12944882796465146, 0.05704466345328514, 0.05422461046678297, 0.042522434429492634, 0.07870667254721056, 0.07479772709874234, 0.07280164755119514]","[0.47316041295665684, 0.3074408586419621, 0.45606318796704265, 0.43197994926068595, 0.304510463486319, 0.2513819446462332, 0.2366941289467739, 0.37505997238276456, 0.2550723914341613, 0.308293237765009]"
4,best_gpr,runtimes_final_npb_mg_Physical,"[0.7903786222261128, 0.7906994268404921, 0.776696039163506, 0.9522844002686213, 0.9792749486717368, 0.9623282165558606, 0.8108141505164911, 0.8179993609654999, 0.8151827857490495, 0.9186409771576476]","[0.6009477630264222, 0.45942721233410116, 0.9357831147432503, 0.1743705468894324, 0.10693759943153713, 0.19632908351667425, 1.164661861439893, 0.28843401108687083, 0.522264426588304, 0.4301138204578933]","[0.0915286621564635, 0.13987023386337827, 0.1010569454558599, 0.15005756847378715, 0.06691820807211499, 0.14319612200529191, 0.13433417961888577, 0.08977287741708982, 0.17680352569219376, 0.22794108866323393]","[0.49431751615027636, 0.5663154785970467, 0.4586313517945483, 0.29574972769938895, 0.25687328057987036, 0.2640485178536447, 0.694264369283528, 0.425241120682263, 0.47430248052123863, 0.49093688762521737]"
5,best_dt,runtimes_final_npb_mg_Physical,"[0.7586029033186139, 0.9150464517780517, 0.7694487829144351, 0.806625313937021, 0.961066702009666, 0.9829051642579018, 0.9708660008802186, 0.9368278766685463, 0.9788612771183164, 0.977827633729281]","[0.6920431818181814, 0.1864780934343435, 0.9661536464646466, 0.706663019079686, 0.20088893190634624, 0.08909090909090903, 0.17935409936138244, 0.10011497222222226, 0.0597347115600449, 0.11721676136363636]","[0.11464316248113096, 0.06928612134428, 0.09187458204745784, 0.14612366195324578, 0.06307122168335308, 0.03653995233327446, 0.039866987451977726, 0.04951321670403979, 0.040997085341268884, 0.07069638432137092]","[0.5922727272727273, 0.31007575757575767, 0.506939393939394, 0.482020202020202, 0.303435655253837, 0.19999999999999993, 0.25845041322314044, 0.23034848484848486, 0.15646464646464653, 0.2747727272727273]"
6,best_rf,runtimes_final_npb_mg_Physical,"[0.6335076922606564, 0.9885193362925585, 0.9902304137062831, 0.8573287404300841, 0.8994070239766011, 0.9967693988487458, 0.9972094451920787, 0.9801169850957647, 0.9909655432679473, 0.994394218937172]","[1.0506692344132924, 0.02520073998476546, 0.040940670543597873, 0.5213738420278168, 0.5190419654568795, 0.016836499502980464, 0.01717915354619037, 0.03151053629125719, 0.025529956091079352, 0.029635605558531355]","[0.14159733759277804, 0.02945666717670804, 0.02446991641740166, 0.07047160381939711, 0.0846779256291973, 0.020856721067742282, 0.01393535043662564, 0.03116635093189136, 0.0322054718508604, 0.03557778515706897]","[0.6196515151515147, 0.10571258034894428, 0.12349278499278502, 0.3381437950937949, 0.31224843893480236, 0.0897052308802309, 0.08969087301587303, 0.12971457431457412, 0.09667366522366536, 0.12960831365604097]"
7,best_etr,runtimes_final_npb_mg_Physical,"[0.7577519143187761, 0.9873232676536565, 1.0, 0.8523343804205991, 0.9962718947699213, 1.0, 1.0, 0.9824087559266668, 0.9860550380636802, 0.9962629291127256]","[0.6944828181818176, 0.027826181818181837, 5.781991862131279e-31, 0.5396250909090903, 0.01923636363636363, 3.675374672052441e-31, 7.440392628789089e-31, 0.02787854545454547, 0.03940627272727268, 0.019756454545454535]","[0.10827706361000562, 0.017678276249072162, 1.2269719199318232e-16, 0.03549915223537637, 0.013027470971396256, 6.73102694965174e-17, 1.1780208066103135e-16, 0.01841787563273931, 0.01520275567154491, 0.01684438464988156]","[0.5659090909090906, 0.07054545454545509, 5.853903220750825e-16, 0.2369090909090909, 0.04181818181818218, 2.8260222445003984e-16, 5.652044489000797e-16, 0.07272727272727315, 0.08209090909090945, 0.059909090909091356]"
8,best_gbr,runtimes_final_npb_mg_Physical,"[0.843008665095208, 0.9547750401254701, 0.845037409241, 0.9676094500551538, 0.9477519251779796, 0.9925421001436161, 0.988293852295739, 0.9325390405521728, 0.9468665839052506, 0.9845276210938265]","[0.4500666512522043, 0.09927147799658563, 0.6493900748823702, 0.11836711557076168, 0.26959082551302055, 0.03886735667649325, 0.0720651349599136, 0.10691190552148035, 0.15014669062007766, 0.08179650849299686]","[0.1117312178270458, 0.05633593059311086, 0.07224913416523038, 0.07748325364694329, 0.07247800976008269, 0.029713496575244736, 0.03440690631060884, 0.04509085816776223, 0.07481788691874888, 0.060479310404412595]","[0.5087499873830402, 0.24810695518260806, 0.3728849121299635, 0.25078749038154835, 0.28979957316066457, 0.1342217003566251, 0.1841378904715887, 0.20496473748761612, 0.24165654568905623, 0.22988728334939942]"
9,best_xgb,runtimes_final_npb_mg_Physical,"[0.8963752526503995, 0.9705627592919117, 0.9849480902112661, 0.9156945103559275, 0.9808339988381253, 0.9866138581327393, 0.993770715474814, 0.889786991806424, 0.9129969174104098, 0.9841274286380246]","[0.2970739949104466, 0.0646164949917173, 0.0630769063485145, 0.3080836124407136, 0.09889317630581194, 0.06976279656418388, 0.038348587541555276, 0.17466521104465646, 0.24585704975711406, 0.08391217188311567]","[0.06699967964483033, 0.05381602642633548, 0.04678115019050339, 0.08251480056726192, 0.055417995948891956, 0.05559474203068068, 0.038487041671179674, 0.06713145093211184, 0.10451734048574007, 0.05546460008254692]","[0.3456332518837668, 0.2078527047417382, 0.19053238695318056, 0.3500018761374734, 0.2406727175279097, 0.2066717498952692, 0.14594957004893905, 0.29926396283236417, 0.29992946104569884, 0.2127611116929488]"
