,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,tracking_simulated,"[0.3846483854807575, 0.29467222185408504, 0.05640691936416897, 0.33205651153043925, 0.28668460957035347, 0.2969947989945527, 0.3067280477380605, 0.32717830072577814, 0.2828252377669094, 0.28858503061912966]","[34272748.16274815, 73243321.24514972, 66678159.031663276, 54818716.61942506, 84050041.02308117, 70217668.5036338, 71903272.10148175, 47212416.9338864, 67819020.88528383, 47967708.38882878]","[0.15413950497169282, 0.1515651954631295, 0.1689526324213411, 0.1430497050657452, 0.17482376231862054, 0.14943030735361923, 0.15731665820124827, 0.15076611083071675, 0.15373185661993227, 0.1660202197694837]","[4305.819356223533, 5770.374950925531, 5428.298267740717, 5035.043046321823, 6797.766480068079, 5889.508253373574, 5894.395716263108, 4864.234778566036, 5489.230714664474, 5046.196079959119]"
1,best_lr,tracking_simulated,"[0.6041681236552005, 0.3093695172661365, 0.162428530804563, 0.31695683147735176, 0.43917630185910694, 0.48927314022575097, 0.30528211822876905, 0.4019559670767776, 0.4025218649766241, 0.5269507601294501]","[22046332.361299355, 71717110.64824189, 59186236.916621685, 56057960.80125064, 66081925.98657695, 51012495.04874176, 72053237.87264405, 41965210.48243761, 56500011.22666547, 31895713.4278679]","[0.10158578105609856, 0.10980197271859309, 0.12077859259391842, 0.12677540372619356, 0.10981878130627183, 0.090375661079586, 0.1183566199227346, 0.0973216744810275, 0.11987820503668595, 0.10192438009131716]","[2877.7019414867677, 4939.890883484754, 4082.11409160557, 4652.554564095666, 5077.66987318713, 4263.617841129323, 5051.216866355034, 3775.0191139229078, 4627.211904902193, 3320.720057847176]"
2,best_rr,tracking_simulated,"[0.2980465198698037, 0.09037686598763206, 0.10193227473036992, 0.08097843995151777, 0.2535433072592833, 0.22526738377936573, 0.18105947398054079, 0.1394764883936025, 0.1776866238934376, 0.16555093187574277]","[39096143.211166546, 94457954.84139419, 63461150.61206459, 75424917.43257041, 87955084.78938206, 77381956.70093189, 84937091.83702761, 60383597.697872065, 77761364.40547775, 56263378.32045988]","[0.15665459798079032, 0.18018127875747855, 0.18304225559388668, 0.193213841383304, 0.1663980622541413, 0.15701685868319123, 0.1716163635733509, 0.16561537511824734, 0.2164920268748927, 0.17688770591815442]","[4431.009550370094, 6745.719684598241, 5297.973063241437, 6216.064076543779, 6714.143178318839, 6054.711490861578, 6394.199885468315, 5397.078694402348, 6507.443282773129, 5236.154920227655]"
3,best_knn,tracking_simulated,"[0.8194091822142837, 0.8865837816178499, 0.8682754997905717, 0.889335106147445, 0.9109667158894075, 0.8764267792144833, 0.8575793222083778, 0.849814697608496, 0.896517661737094, 0.743644443892499]","[10058222.766361244, 11777475.345165504, 9308193.70507908, 9082366.338688286, 10490802.921562653, 12342758.546642005, 14771278.01682548, 10538618.361295706, 9785719.227009084, 17284973.030469526]","[0.08527841686822014, 0.10351349318682451, 0.0856046156406552, 0.08776832921233234, 0.08340832247930492, 0.08830038909222604, 0.10473203766596124, 0.09719110467262027, 0.08003791185175517, 0.121205917158501]","[2072.3164861266396, 2404.9810146255677, 2018.082514241446, 2072.8342965358447, 2147.218970502711, 2334.4790170163546, 2532.1791101055805, 2160.2814867934344, 1966.5210807831365, 2963.018903772096]"
4,best_gpr,tracking_simulated,"[0.8961603450522659, 0.8912763888385007, 0.8186200149861468, 0.8994937537433733, 0.9201980167096937, 0.8593820997039996, 0.8947583452481696, 0.8379724716608324, 0.8481520844061996, 0.8526212747739063]","[5783474.454862368, 11290181.14126654, 12817054.01841748, 8248637.088518088, 9403077.599704502, 14045217.723197296, 10915224.98976265, 11369596.478484089, 14359368.875414684, 9937125.332792697]","[0.08356775266206419, 0.07777238987364574, 0.08272273026397624, 0.0732669902316283, 0.0697395465405569, 0.07388647183611896, 0.07072915771218448, 0.08395448686303758, 0.08228838736957764, 0.09586882573650751]","[1824.4957645404402, 2112.671363767011, 2341.4538605265757, 1953.4372245717702, 2069.443989215682, 2279.237152827906, 2158.9184761298598, 2255.1704509215147, 2461.6949532504004, 2356.8698294726114]"
5,best_dt,tracking_simulated,"[1.0, 1.0, 0.9999981600158064, 0.9999981250964884, 1.0, 0.9999972459208891, 1.0, 1.0, 0.9999972501030238, 0.999999757758329]","[0.0, 0.0, 130.02083333333334, 153.875, 0.0, 275.0833333333333, 0.0, 0.0, 260.0416666666667, 16.333333333333332]","[0.0, 0.0, 0.00010624448604566092, 0.00015038319326931174, 0.0, 0.00024103704704955147, 0.0, 0.0, 0.00021248897209132184, 2.9310287073325966e-05]","[0.0, 0.0, 1.6458333333333333, 2.625, 0.0, 4.083333333333333, 0.0, 0.0, 3.2916666666666665, 0.5833333333333334]"
6,best_rf,tracking_simulated,"[0.9999405517257316, 0.9999936918165317, 0.9999717587722022, 0.9999729056261857, 0.9999949348408349, 0.9999800280018921, 0.9999916727790782, 0.9999863538770658, 0.9999937320193971, 0.999965989612364]","[3311.0431249999965, 655.0604166666611, 1995.6410416666852, 2223.6593750000316, 596.8283333333394, 1994.8460416666856, 863.6645833333209, 957.5589583333164, 592.7262499999898, 2293.1768750000138]","[0.0008735524796928399, 0.00032863968538630076, 0.00022003393281019127, 0.0002807965150403196, 0.0002929450874847685, 0.00021533317451101423, 0.00048055723959641226, 0.0004446415192589927, 0.00024267479129379572, 0.0003618259520221667]","[18.48124999999997, 6.616666666666636, 6.61041666666669, 8.764583333333425, 6.7750000000000155, 6.58125000000003, 7.68333333333328, 8.281249999999924, 4.1624999999999845, 9.927083333333334]"
7,best_etr,tracking_simulated,"[0.9999999998538855, 0.9999999999663015, 0.9999999999712088, 0.9999999999821515, 0.9999999999640858, 0.999999999979631, 0.9999999999591984, 0.9999999999315751, 0.9999999999629949, 0.9999999999891374]","[0.008138020833333334, 0.0034993489583333335, 0.0020345052083333335, 0.00146484375, 0.004231770833333333, 0.0020345052083333335, 0.004231770833333333, 0.004801432291666667, 0.0034993489583333335, 0.000732421875]","[9.856800403734545e-07, 5.420680706420864e-07, 2.464200100933636e-07, 2.956480605487228e-07, 6.898921009164478e-07, 2.464200100933636e-07, 6.898921009164478e-07, 6.406640504610886e-07, 5.420680706420864e-07, 1.478240302743614e-07]","[0.026041666666666668, 0.014322916666666666, 0.006510416666666667, 0.0078125, 0.018229166666666668, 0.006510416666666667, 0.018229166666666668, 0.016927083333333332, 0.014322916666666666, 0.00390625]"
8,best_gbr,tracking_simulated,"[0.9997822115124809, 0.9998931888871498, 0.9998801916825858, 0.9999157409783914, 0.9998219834282007, 0.9998500206988038, 0.9998823939589442, 0.9997985922192724, 0.9999105084939662, 0.9998677433422162]","[12129.991714279766, 11091.581663781406, 8466.147331729318, 6915.212900386054, 20975.714758520055, 14980.254539712716, 12197.60750917488, 14132.93912443667, 8462.688087155359, 8917.508157830713]","[0.0033179378352534553, 0.0033813539568371253, 0.002798279017757378, 0.0025088149913682386, 0.003371239628780599, 0.003537785651090162, 0.0035272672667541597, 0.0035657974149762403, 0.0029576080089718892, 0.0031653159023430962]","[75.0145650857882, 85.29573833514621, 69.05348501329941, 62.78800372422646, 97.35635033664245, 96.38707651801808, 84.01828463799444, 85.98368038156208, 72.57876037939512, 80.23828977515069]"
9,best_xgb,tracking_simulated,"[0.9993469282932526, 0.999220574389843, 0.9994733889360471, 0.9995930399425333, 0.9997748718982208, 0.9998162806764541, 0.9994040691158499, 0.9995378483366141, 0.9991592791300173, 0.9995283293046764]","[36373.61405975567, 80937.85913478152, 37212.49868261495, 33399.57414182409, 26526.872185661243, 18350.28039622688, 61807.46296877412, 32429.538229819726, 79502.05339422509, 31802.76398812632]","[0.005608768970729646, 0.005834229111662959, 0.005072563887586755, 0.004645953682811681, 0.004515665899422586, 0.0032235582623553333, 0.004418738870701923, 0.00561839852741092, 0.004508479794132648, 0.0034040229421254346]","[126.08648729324341, 157.54096293449402, 134.15152661005655, 124.38420422871907, 114.59663156668346, 96.09411557515462, 153.82308864593506, 128.75591719398895, 131.20370306571326, 95.76281038920085]"
